City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
193,Aswan,EG,24.0934,32.907,87.85,26,8,11.27,clear sky
194,Collie,AU,-33.3667,116.15,51.33,95,58,14.67,light rain
195,Mpika,ZM,-11.8343,31.4529,50.32,79,0,3.58,clear sky
196,Tiznit,MA,29.5833,-9.5,73.62,40,0,3.69,clear sky
197,Tarpon Springs,US,28.1461,-82.7568,81.97,86,40,0.0,scattered clouds
198,Trairi,BR,-3.2778,-39.2689,77.11,84,16,11.32,few clouds
199,Kavieng,PG,-2.5744,150.7967,83.28,74,23,12.28,light rain
200,Severo-Kurilsk,RU,50.6789,156.125,59.29,87,43,2.39,scattered clouds
201,Ruhengeri,RW,-1.4998,29.635,54.59,79,18,1.25,few clouds
202,Neuquen,AR,-38.9516,-68.0591,38.34,97,100,3.06,overcast clouds
203,Axim,GH,4.8699,-2.2405,75.0,80,90,10.6,overcast clouds
204,Kasamwa,TZ,-2.85,32.4333,61.9,57,8,5.75,clear sky
205,Diffa,NE,13.3154,12.6113,74.28,88,100,23.49,light rain
206,Zverinogolovskoye,RU,54.4586,64.8542,69.12,62,100,9.8,overcast clouds
207,Nieuw Amsterdam,SR,5.8833,-55.0833,82.02,78,81,6.26,broken clouds
208,Ambovombe,MG,-25.1667,46.0833,65.28,83,9,10.45,clear sky
209,Mulchen,CL,-37.7167,-72.2333,42.31,98,65,0.85,broken clouds
210,San Patricio,US,28.017,-97.5169,85.86,71,97,12.84,overcast clouds
211,Aklavik,CA,68.2191,-135.0107,57.63,61,76,6.78,broken clouds
212,Karagaylinskiy,RU,54.172,86.5521,64.35,62,0,3.53,clear sky
213,Roma,US,43.2128,-75.4557,78.08,88,20,3.44,few clouds
214,Turukhansk,RU,65.8167,87.9833,61.61,63,100,6.15,overcast clouds
215,Sacile,IT,45.9541,12.5029,71.19,72,93,1.99,overcast clouds
216,Margate,GB,51.3813,1.3862,59.31,86,11,1.9,few clouds
217,Chumikan,RU,54.7183,135.315,53.17,95,100,23.98,moderate rain
218,Biak,ID,-0.9131,122.8766,80.83,74,72,7.0,broken clouds
219,Somerton,US,32.5964,-114.7097,99.5,42,0,13.8,clear sky
220,Fayaoue,NC,-20.65,166.5333,77.05,75,0,5.97,clear sky
221,Kurumkan,RU,54.3,110.3,56.71,73,94,3.85,overcast clouds
222,Gamba,GA,-2.65,10.0,68.59,82,74,4.21,broken clouds
223,East London,ZA,-33.0153,27.9116,63.57,86,61,6.55,moderate rain
224,Kaeo,NZ,-35.1,173.7833,59.99,76,22,6.06,few clouds
225,Lucea,JM,18.451,-78.1736,79.86,81,10,13.69,clear sky
226,Santa Isabel Do Rio Negro,BR,-0.4139,-65.0192,75.74,83,36,2.28,scattered clouds
227,Thompson,CA,55.7435,-97.8558,69.96,60,75,8.05,broken clouds
228,Charleston,US,32.7766,-79.9309,80.02,92,20,1.01,few clouds
229,Colac,AU,-38.3333,143.5833,52.18,50,2,4.25,clear sky
230,Tucuman,AR,-26.8241,-65.2226,57.79,60,97,1.48,overcast clouds
231,Hasaki,JP,35.7333,140.8333,93.29,77,36,21.92,scattered clouds
232,Olafsvik,IS,64.8945,-23.7142,50.25,85,86,25.48,overcast clouds
233,Meulaboh,ID,4.1363,96.1285,82.04,73,93,3.69,overcast clouds
234,Bulgan,MN,48.8125,103.5347,65.23,64,14,3.78,few clouds
235,Calabozo,VE,8.9242,-67.4293,75.58,88,42,1.1,scattered clouds
236,Barrow,US,71.2906,-156.7887,44.62,81,100,18.41,overcast clouds
237,Chokurdakh,RU,70.6333,147.9167,63.14,30,98,17.02,overcast clouds
238,Paso Del Macho,MX,18.9667,-96.7167,69.78,96,77,4.52,broken clouds
239,Nouadhibou,MR,20.931,-17.0347,71.62,89,1,11.72,clear sky
240,Betsiamites,CA,48.9413,-68.646,56.98,66,95,8.88,overcast clouds
241,Grindavik,IS,63.8424,-22.4338,48.67,87,75,16.11,broken clouds
242,Copiapo,CL,-27.3667,-70.3333,46.09,55,100,1.81,overcast clouds
243,Sao Filipe,CV,14.8961,-24.4956,79.16,85,89,4.74,overcast clouds
244,Harper,LR,4.375,-7.7169,72.66,82,34,8.61,scattered clouds
245,Ishigaki,JP,24.3448,124.1572,85.44,73,17,12.15,few clouds
246,Chicama,PE,-7.8447,-79.1469,57.74,86,41,7.27,scattered clouds
247,Clyde River,CA,70.4692,-68.5914,39.33,89,43,0.49,scattered clouds
248,La Ronge,CA,55.1001,-105.2842,64.49,65,55,6.89,broken clouds
249,Aksarka,RU,66.5606,67.7975,76.75,49,0,9.66,clear sky
250,Chandur Bazar,IN,21.2417,77.7456,81.03,80,100,9.8,moderate rain
251,Cherskiy,RU,68.75,161.3,52.03,48,44,5.35,scattered clouds
252,Sitka,US,57.0531,-135.33,57.09,82,100,0.0,overcast clouds
253,Humaita,BR,-7.5061,-63.0208,75.31,82,81,1.79,broken clouds
254,Provideniya,RU,64.3833,-173.3,41.36,65,75,18.01,broken clouds
255,Barranca,PE,-10.75,-77.7667,61.03,82,88,8.01,overcast clouds
256,Nacala,MZ,-14.5428,40.6728,63.88,94,1,6.85,clear sky
257,Ola,RU,59.5833,151.2833,60.96,67,86,6.4,overcast clouds
258,Upernavik,GL,72.7868,-56.1549,41.61,83,100,4.81,overcast clouds
259,Cabo San Lucas,MX,22.8909,-109.9124,85.6,75,84,5.23,broken clouds
260,Ixtapa,MX,20.7,-105.2,83.43,74,100,3.44,overcast clouds
261,Sarangani,PH,5.4033,125.4636,81.45,75,100,1.19,moderate rain
262,Wakkanai,JP,45.4094,141.6739,73.38,94,75,10.36,shower rain
263,Talnakh,RU,69.4865,88.3972,55.62,97,100,4.7,moderate rain
